school_name,g,wins,losses,win_loss_pct,srs,sos,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Iowa State,8,6,2,.750,23.58,-0.42,4,0,1,0,663,471,69.5,119.2,.419,.310,.568,55.9,59.7,16.9,10.2,.539,12.1,36.7,.283
IUPUI,9,3,6,.333,-19.75,-3.46,2,1,1,3,594,693,68.3,95.3,.346,.268,.507,48.5,39.8,10.1,5.6,.462,18.3,31.5,.256
Jackson State,8,2,6,.250,-11.22,1.41,0,0,2,6,551,652,71.9,95.8,.336,.320,.493,48.6,51.0,9.7,10.6,.459,17.1,30.8,.226
Jacksonville,8,6,2,.750,-9.94,-5.51,3,0,2,2,618,582,72.3,106.7,.363,.340,.563,54.5,45.3,12.6,10.3,.531,17.3,33.6,.259
Jacksonville State,8,4,4,.500,-6.28,-8.71,2,1,1,3,566,499,66.7,104.4,.352,.324,.530,53.9,46.3,10.3,9.7,.491,16.7,34.4,.256
James Madison,7,7,0,1.000,13.17,1.17,3,0,2,0,633,549,73.6,116.6,.374,.369,.581,50.2,50.7,11.8,9.5,.554,12.2,31.6,.259
Kansas,8,7,1,.875,20.12,6.84,4,0,0,0,638,518,70.9,112.5,.331,.318,.613,54.3,75.5,9.5,14.3,.597,16.6,25.3,.224
Kansas City,8,3,5,.375,-4.74,4.76,3,0,0,2,576,549,67.9,104.3,.320,.393,.520,54.4,49.3,9.6,11.6,.503,16.4,38.1,.191
Kansas State,8,6,2,.750,9.59,1.09,5,0,0,0,662,594,70.5,112.2,.375,.417,.546,54.9,58.4,9.3,9.3,.505,15.7,40.4,.276
Kennesaw State,8,5,3,.625,-6.53,-3.53,3,0,0,3,692,617,79.4,109.0,.334,.441,.525,52.4,54.1,12.0,11.0,.493,12.6,35.1,.230
Kent State,8,5,3,.625,7.33,0.66,3,2,0,0,678,575,72.3,113.8,.396,.382,.574,52.5,49.4,12.4,9.1,.529,14.7,34.4,.306
